username,teams
CedricGilSmile,"[""__IRIS_cds"",""__IRIS_all"",""__DED_PC_ELU_smile-gesloc""]"
DavidSIMON-creator,"[""__IRIS_cds"",""__IRIS_all"",""__DED_GE_FF_umanis_bal""]"
Chemsi,"[""__IRIS_cds"",""__IRIS_all"",""__DOPSI_INF_OF_wavestone""]"
EssayedElamiriOSF,"[""__IRIS_cds"",""__IRIS_all"",""__ded_pc_cumtfa_osf-courseu-platform_maintainer""]"
remi-A2F,"[""__IRIS_cds"",""__IRIS_all"",""__DOPSI_INF_INF_a2f""]"
nbenmans,"[""__IRIS_cds"",""__IRIS_all"",""__DOPSI_INF_INF_a2f""]"
SandraIRIS,"[""__IRIS_cds"",""__IRIS_all"",""__DED_GE_GDIA_idento-forgerock""]"
LbouchouCapgemini,"[""__IRIS_cds"",""__IRIS_all"",""__DED_MACDA_capgemini-mobudrive""]"
AhmedShakeelOSF,"[""__IRIS_cds"",""__IRIS_all"",""__DED_PC_CUMTFA_osf-courseu-platform-events""]"
oleksandrhadzhyosf,"[""__IRIS_cds"",""__IRIS_all"",""__DED_PC_CUMTFA_osf-courseu-platform-events"",""__ded_pc_cumtfa_osf-courseu-platform""]"
rleulier,"[""__IRIS_cds"",""__IRIS_all"",""__DOPSI_INF_INF_a2f""]"
denys-taldykin,"[""__IRIS_cds"",""__IRIS_all"",""__DED_PC_CUMTFA_osf-courseu-platform-core"",""__DED_PC_CUMTFA_osf-courseu-platform-events""]"
VasylMartyniukOSF,"[""__IRIS_cds"",""__IRIS_all"",""__DED_PC_CUMTFA_osf-courseu-platform-events"",""__ded_pc_cumtfa_osf-courseu-platform""]"
alangevin-sii,"[""__IRIS_cds"",""__IRIS_all"",""__DED_PC_FO_sii-rdt-posa""]"
alecguyomard-sii,"[""__IRIS_cds"",""__IRIS_all"",""__DED_PC_FO_sii-rdt-posa""]"
MatthieuJakubowskiOSF,"[""__IRIS_cds"",""__IRIS_all"",""__ded_pc_cumtfa_osf-courseu-platform_maintainer""]"
mubeenakbarosf,"[""__IRIS_cds"",""__IRIS_all"",""__DED_PC_CUMTFA_osf-courseu-platform-core""]"
DanielStoicaOSF,"[""__IRIS_cds"",""__IRIS_all"",""__DED_PC_CUMTFA_osf-courseu-platform-events""]"
Nicoreno,"[""__IRIS_cds"",""__IRIS_all"",""__DOPSI_INT_IDM_sigma-neoload""]"
yhalope,"[""__IRIS_cds"",""__IRIS_all"",""__DOPSI_INT_IDM_sigma-neoload""]"
gmeklat,"[""__IRIS_cds"",""__IRIS_all"",""__DOPSI_INT_IDM_sigma-neoload""]"
FelipeRamos1202,"[""__IRIS_cds"",""__IRIS_all"",""__DED_PC_CUMTFA_osf-courseu-platform-events""]"
aelfahimi-UMANIS,"[""__IRIS_cds"",""__IRIS_all"",""__DED_GE_FF_umanis_bal""]"
rohitpawarOSFdigital,"[""__IRIS_cds"",""__IRIS_all"",""__DED_PC_CUMTFA_osf-courseu-platform-events"",""__ded_pc_cumtfa_osf-courseu-platform""]"
HarshadaPatilOSF,"[""__IRIS_cds"",""__IRIS_all"",""__DED_PC_CUMTFA_osf-courseu-platform-core""]"
JeanCrespWS,"[""__IRIS_cds"",""__IRIS_all"",""__DOPSI_INF_OF_wavestone""]"
gtubert,"[""__IRIS_cds"",""__IRIS_all"",""__DED_PC_CUMTFA_osf-courseu-platform-events""]"
PatriciaMendesOSF,"[""__IRIS_cds"",""__IRIS_all"",""__DED_PC_CUMTFA_osf-courseu-platform-events"",""__ded_pc_cumtfa_osf-stl-platform""]"
rahulvr-osf,"[""__IRIS_cds"",""__IRIS_all"",""__DED_PC_CUMTFA_osf-courseu-platform-events""]"
gauravkapoorosf,"[""__IRIS_cds"",""__IRIS_all"",""__DED_PC_CUMTFA_osf-courseu-platform-events""]"
tgrousseau,"[""__IRIS_cds"",""__IRIS_all"",""__DED_PC_CUMTFA_miam-courseu""]"
MihailoSimeunovicOSF,"[""__IRIS_cds"",""__IRIS_all"",""__DED_PC_CUMTFA_osf-courseu-platform-events""]"
JeromeLeMarechalOSF,"[""__IRIS_cds"",""__IRIS_all"",""__DED_PC_CUMTFA_osf-courseu-platform-core"",""__DED_PC_CUMTFA_osf-courseu-platform-events""]"
LidiaPrivantuOSF,"[""__IRIS_cds"",""__IRIS_all"",""__DED_PC_CUMTFA_osf-courseu-platform-core""]"
emirhanoguzOSF,"[""__IRIS_cds"",""__IRIS_all"",""__DED_PC_CUMTFA_osf-courseu-platform-events""]"
faydaouda,"[""__IRIS_cds"",""__IRIS_all"",""__DED_GE_GDIA_idento-forgerock""]"
bwaskiw,"[""__IRIS_cds"",""__IRIS_all"",""__DED_PC_FO_sii-rdt-posa""]"
EurydiceGD,"[""__IRIS_cds"",""__IRIS_all"",""__ded_pc_cumtfa_47quai-courseu-platform-core""]"
Guillaume-Revol,"[""__IRIS_cds"",""__IRIS_all"",""__ded_pc_cumtfa_47quai-courseu-platform-core""]"
bgredat-sys-u,"[""__LAB_helpdesk-chatbot""]"
fraiderik,"[""__LAB_helpdesk-chatbot""]"
Ludovic-IRIS,"[""__LAB_helpdesk-chatbot""]"
JPL44,"[""__LAB_helpdesk-chatbot""]"
fdewasmes,"[""__LAB_helpdesk-chatbot_smile""]"
thavi-lim,"[""__PILOTE_ansible""]"
morgan-palo-it,"[""__LAB_iot-salles-serveur-magasin_paloit""]"
antoinegaillardpaloit,"[""__LAB_iot-salles-serveur-magasin_paloit""]"
irisargocdoperator,"[""__irisargocdoperator""]"
lrangeard-su,"[""__DED_AIL_IL_PIPELINE_CONTRIB""]"
SQLICourseU,"[""__DED_PC_CUMTFA_sqli-courseu-mobile-ci-cd-sqli""]"
irisidtoperator,"[""__irisidtoperator""]"
